city,state,num_restaurants_by_city
"http://dbpedia.org/resource/Chatham-Kent","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Glenview_station","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Urbana,_Ohio","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Rockford_IceHogs","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Mount_Prospect_Park","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Joseph_Lyons","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Woodridge,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Palos_Verdes_Hills","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Highwood_River","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Decatur,_Texas","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Lombardy","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Oak_Park,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Skokie_(rocket)","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/River_Grove_station","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Galena","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Pound_sterling","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Godfrey_Ho","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Elgin,_Moray","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Vernon_Hills_station","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Chesterfield","http://dbpedia.org/resource/Clarkson_Valley,_Missouri","1"
"http://dbpedia.org/resource/Cherry_Hill,_New_Jersey","http://dbpedia.org/resource/Colestown_Cemetery,_Cherry_Hill_Township","1"
"http://dbpedia.org/resource/Williamstown,_Vermont","http://dbpedia.org/resource/Collings_Lakes,_New_Jersey","1"
"http://dbpedia.org/resource/Evergreen_State_College","http://dbpedia.org/resource/Colombia","1"
"http://dbpedia.org/resource/Soda_Springs,_Idaho","http://dbpedia.org/resource/Colombia","1"
"http://dbpedia.org/resource/John_Berthoud","http://dbpedia.org/resource/Colombia","1"
"http://dbpedia.org/resource/Littleton_Groom","http://dbpedia.org/resource/Colombia","1"
